,id,created_at,author_id,original_text,location
0,1476737369344815139,2021-12-31T02:09:59.000Z,773346775985971200,"COVID-19 vaccine mandates “have to be repealed” as the vaccines are “still in research” and “people cannot be mandated to participate in research,” says @P_McCulloughMD 
https://t.co/ReBmW1uNfm",
1,1476737369336426510,2021-12-31T02:09:59.000Z,4060962981,"As Covid Deaths Hit 800K, Sanders Says Medicare for All Needed to End 'Vulgarity' of US Health System

https://t.co/NNAnpVvn4p via @commondreams","Minnesota, USA"
2,1476737369328037907,2021-12-31T02:09:59.000Z,867521724094525441,me testing him for covid https://t.co/v6Oxajy6u2,TX
3,1476737369298673667,2021-12-31T02:09:59.000Z,1400794576303054849,"personne :

moi qui essaie d’arriver en 2022 sans attraper le covid : https://t.co/GgT1yZ0Wya",
4,1476737369160110080,2021-12-31T02:09:59.000Z,1444351239530029057,"The omicron variant is NOT mild.

Hospitalisations are 40-45% less likely than with the delta variant (https://t.co/bXviAIeBld), but the delta variant is &gt;2x more severe than the original strain (https://t.co/dGNXc0smso).

The omicron variant is AT LEAST as bad as the 2020 virus.","Adelaide, South Australia"
5,1476737369147682853,2021-12-31T02:09:59.000Z,1427813055778463749,Almenos con todo y COVID hacemos dinero en JC jeje🙏🏼,
6,1476737369021767682,2021-12-31T02:09:59.000Z,2820576170,COVID is not a secret. If you tested positive or have been around someone that tested positive tell the people you were in contact with. I don’t understand what the secret is. Withholding that information is extremely selfish and irresponsible.,
7,1476737368505954349,2021-12-31T02:09:59.000Z,1043938531087982594,"@elchacaldelint1 sí, lo leí hace 2 semanas pero me faltan datos actuales.",Chetoslovaquia hinterland
8,1476737368304455682,2021-12-31T02:09:59.000Z,1372622315368841216,"It’s funny DeSantis’ team is putting out that 12/17 photo when Ron DeSantis hosted people for a “Holiday Reception” at the Governor’s Mansion on 12/20.

Is this his last sighting? If he has covid, was he knowingly positive during this event? https://t.co/hHtN4ee818 https://t.co/OiQyU23okP",
9,1476737367834865689,2021-12-31T02:09:59.000Z,1367268135842283521,"If you ever wondered if they were lying the whole time, this video puts any good faith claim to rest. 

“With Covid,” not “because of” Covid. 

 https://t.co/RamUml2N8g","Philadelphia, PA"
