author_id,id,created_at,original_text,location
1164924322890297344,1164924322890297344,2021-12-31T04:09:59.000Z,"STOP FUCKING GOING TO STARBUCKS TO GET A MEDICINE BALL BC YOU HAVE A SORE THROAT IF YOU KNOW YOU HAVE COVID OR EVEN IF YOU'RE NOT SURE, AND YES IT MATTERS IF YOU GO THROUGH THE DRIVE-THRU","Georgetown, TX"
797483317364826112,797483317364826112,2021-12-31T04:09:59.000Z,"Free rapid COVID testing at 380 S 17th St. Richmond CA. No appt needed, stay safe yall!",bay area
1454583445657686025,1454583445657686025,2021-12-31T04:09:59.000Z,"So Im the exiting chief of surgery at my hospital. My two years of stupid meetings, babysitting disruptive surgeons, managing Covid staffing issues, etc has culminated in receiving a $50 gift card. Thats how out of touch hospitals are. SMH. #MedTwitter",
773485929969414148,773485929969414148,2021-12-31T04:09:59.000Z,Quebec imposes COVID-19 curfew; Ontario limits eligibility for PCR tests amid Omicron surge - The Globe and Mail   https://t.co/bWEvGrc5Zg,"Hyderabad, India"
1452284405502840837,1452284405502840837,2021-12-31T04:09:59.000Z,"[News]

   ..13   

As members fully recovered from COVID-19, Kep1er will continue promotion for its January 3rd debut

 https://t.co/TX8szPF3EP

#Kep1er #",she/herstan ot9!
1393949294965657603,1393949294965657603,2021-12-31T04:09:59.000Z,@yuyuniwerse We are stolen two years by epidemic,she/her
1439581822871015432,1439581822871015432,2021-12-31T04:09:59.000Z,"NEW - Dr. Fauci: ""Important thing: Many of the children are hospitalized with Covid as opposed to because of Covid.""

https://t.co/g7NzfpKTsQ","Texas, USA"
184331718,184331718,2021-12-31T04:09:59.000Z,"No todo malestar es #Covid, 37 no es fiebre. Siguen existiendo las sinusitis alrgicas, las otitis y dems itis. Si tienen la suerte q tuve de buenos mdicos q vieron ms all, todo es ms fcil. Pataleen , no se queden con dudas... Nada... Eso.",Ciudad Autnoma de Buenos Aire
2166890976,2166890976,2021-12-31T04:09:59.000Z,Participants who received a booster at least 5 months after a second dose of Pfizer vaccine had 90% lower mortality due to Covid-19 than participants who did not receive a booster #covid19 #booster #mortality @NEJM https://t.co/uaBi6CjLJL,"Helsinki, Finland"
280267313,280267313,2021-12-31T04:09:59.000Z,Should Tucker and Fox News be sued over COVID misinformation?,"cape cod, ma"
